date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2018-11-05,51.07500076293945,51.09749984741211,49.54249954223633,50.397499084472656,48.02164840698242,264654800,0.030000000000000027,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,15,2,51.05137538909912,45.72980018615723,52.70876426041871,-0.3217796807833939
2018-11-06,50.47999954223633,51.18000030517578,50.42250061035156,50.942501068115234,48.54095077514648,127531600,0.030000000000000027,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,15,3,51.27287540435791,45.915050201416015,54.38709274111202,-0.47443963255096344
2018-11-07,51.49250030517578,52.51499938964844,51.032501220703125,52.48749923706055,50.01311874389648,133697600,0.030000000000000027,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,15,4,51.48475036621094,46.119600219726564,58.845948914526716,-0.4701802384979108
2018-11-08,52.494998931884766,52.52999877929688,51.6875,52.122501373291016,49.838623046875,101450400,0.030000000000000027,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.297193002266,0.29,98.6,2.19,19.35,15,5,51.655625343322754,46.32760025024414,57.41794181174671,-0.4886099718296295
2019-01-22,39.102500915527344,39.182498931884766,38.15499877929688,38.32500076293945,36.64570236206055,121576000,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,-5,51.144250297546385,46.25355026245117,28.8838630064072,-1.3764119971195194
2019-01-23,38.53749847412109,38.78499984741211,37.92499923706055,38.47999954223633,36.79389572143555,92522400,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,-4,50.681000328063966,46.1606502532959,29.308867686958397,-1.8690266464539782
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.50225830078125,101766000,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,-3,50.215875244140626,46.05290023803711,28.942332424772196,-2.1132180078028995
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.43999862670898,37.71184158325195,134142000,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,-2,49.80925025939941,45.96765022277832,32.70154218204247,-2.0838913863143773
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.36282730102539,104768400,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,-1,49.24425029754639,45.86795021057129,32.17266199506725,-1.9839393488106396
2019-01-29,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,36.97557067871094,166348800,0.010000000000000009,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95,16,0,48.585375213623045,45.76195014953613,31.562682638379,-1.842991529098091
