date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2017-10-27,51.54949951171875,53.180999755859375,51.34249877929688,51.68349838256836,51.55583572387695,103682000,0.06,4.3,41.9,272400,189788.0,63738.0,1273.0,2492.84,1.05,100.157121409161,0.82,95.1,1.15,10.44,11,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2018-02-02,56.37099838256836,56.56499862670898,55.55849838256836,55.959999084472656,55.821773529052734,117842000,-0.020000000000000018,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.80,1.17,100.668635534121,0.55,95.7,1.41,11.06,12,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2018-04-24,52.959999084472656,53.2244987487793,50.64300155639648,51.13199996948242,51.00570297241211,128220000,0.03999999999999998,4.0,42.2,225800,199775.0,64151.0,1385.0,2702.77,1.34,100.853038383548,0.57,101.4,1.51,19.02,13,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2018-07-24,63.54999923706055,63.75,62.20700073242188,62.907501220703125,62.75211715698242,107600000,0.12,4.0,42.2,222600,203807.0,67716.0,1345.0,2754.35,1.09,100.804780122537,0.38,98.2,1.82,13.68,14,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2018-10-26,52.416500091552734,55.84999847412109,52.11149978637695,54.1875,54.053653717041016,106438000,0.12,3.7,42.0,205200,207405.0,67190.0,1314.0,2901.50,1.06,100.485319382087,0.24,100.1,1.95,12.91,15,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2019-02-05,56.48149871826172,57.63850021362305,56.18000030517578,57.59349822998047,57.45123672485352,82296000,0.08999999999999997,4.0,42.0,222750,199495.0,66871.0,1261.0,2607.39,0.31,99.65139055242408,0.17,91.2,2.4,19.57,16,1,48.795575332641604,,70.00784543057001,-2.7954016082059496
2019-04-30,59.53150177001953,60.04899978637695,59.150001525878906,59.948001861572266,59.7999267578125,133178000,0.06999999999999995,3.7,41.6,209750,202759.0,66858.0,1311.0,2903.80,0.11,99.2042658362208,0.19,97.2,2.42,12.95,17,1,48.795575332641604,,71.67541282069148,-2.7954016082059496
2019-07-26,61.400001525878906,63.41949844360352,61.400001525878906,62.26100158691406,62.107215881347656,121216000,0.14,3.6,41.7,225200,198808.0,66127.0,1315.0,2890.17,-0.30,98.9769665881838,0.26,98.2,2.38,15.84,18,1,48.795575332641604,,73.24895154787349,-2.7954016082059496
2019-10-29,63.79999923706055,64.04000091552734,62.78049850463867,63.03300094604492,62.8773078918457,52654000,-0.12,3.5,41.5,209500,196780.0,64927.0,1474.0,2982.16,-0.35,98.84114311296292,0.05,93.2,2.04,15.56,19,1,48.795575332641604,,73.77266538218859,-2.7954016082059496
2020-02-04,72.72450256347656,73.36699676513672,71.10150146484375,72.27050018310547,72.09198760986328,95880000,0.13,3.6,41.3,214500,191348.0,61781.0,1507.0,3278.20,0.21,99.0912204159545,0.24,99.8,1.55,13.94,20,1,48.795575332641604,,79.05626141958585,-2.7954016082059496
2020-04-29,67.25,68.00749969482422,66.33650207519531,67.10900115966797,66.9432373046875,108358000,-0.030000000000000027,4.4,41.2,2334500,170136.0,60644.0,1358.0,2652.39,0.24,97.6721191925629,0.42,89.1,0.65,57.74,21,1,50.80715036392212,,70.50901519859094,-2.7954016082059496
